Word	Count
low	2
suppress	1
near	4
pill	3
table	12
examines	1
guy	3
position	3
demands	1
almost	7
died	1
morning	6
seizure	2
even	4
minute	2
felt	1
longer	3
couldn't	1
terrible	1
state	2
less	4
affected	1
logan--	1
give	10
look	32
needs	2
higher	1
you've	5
squirreled	1
loading	3
dock	2
glares	6
rumble	6
rises	3
money's	1
us	24
saving	1
bloody	12
myself	3
below	2
deck	1
nosferatu	1
...folding	1
underwear	1
pigs	1
blanket	2
see--	8
freight	5
tea	1
pocket	6
sniffs	2
gleaming	2
17	1
snatches	4
blowing	2
brains	2
wait	6
high	12
seas	1
thanks	1
year	6
asked	5
try	7
aren't	4
drinking	1
pus	1
wiping	1
wash	3
clothes	3
brand	5
chest	6
haven't	2
healed	2
very	6
much	7
doubt	2
fact	7
ibuprofen	1
humiliated	1
kicks	4
caliban's	8
expression	2
slaps	3
cup	2
shatters	3
favorite	1
mug	1
coat	3
something's	1
smell	1
sick	2
exit	5
aflame	1
leading	2
18	1
blasts	1
bawdy	1
bridesmaids	1
laugh	3
grins	3
flashes	4
destination	1
hustles	1
outside	11
start	8
stumble	2
tips	2
buzzes--	1
fare	1
bridesmaid	1
address	6
3300	2
marquez	2
fronting	1
twentieth	1
century	1
motel	8
freeway	1
neon	1
looms	2
overhead	2
thinning	1
flip	2
flops	1
courtyard	1
skinned	2
dark-eyed	1
standing	15
broken	4
calmly	1
bouncing	5
catching	3
crisply	1
senor	1
rooms	2
suitcase	1
jesus	4
...we	1
weak	7
available	1
call	7
cab	4
crazy	3
lopez	2
19	1
men	22
north	9
dakota	7
cross	9
canada	3
job	4
i'll	12
fifty	1
thousand	3
dollars	1
how'd	1
huh	2
`cause	1
...sightings	1
posted	1
sightings	1
chat	1
looked	2
driving	5
fat	3
fucktards	1
living	4
parents'	1
basements	1
playing	4
dolls	1
whoever	2
point	4
shattering	1
glass	6
hey	11
smashed	1
manager	3
advances	2
broom	1
fascinated	3
perhaps	2
amused	3
angry	2
wipe	1
smile	7
missy	1
20	1
mamacita	1
pavement	2
freezes	1
kneels	5
sees	24
staining	1
gabriela's	6
wound	3
damages	1
she's	23
office	3
flees	4
let	14
helps	2
mess	1
files	7
print	1
outs	1
clippings	1
medical	6
kit	2
fully	2
stocked	1
i`m	1
nurse	13
city	8
lifts	5
ministering	1
happen	1
pries	2
cheap	1
paneling	1
envelope	6
hidden	2
there's	13
set	2
numbers	3
bundles	1
greenbacks	1
21	1
thirty	1
will--	1
matter	4
boyfriend	1
daughter	7
exchange	1
...yes	1
problems	1
friday	2
miss	1
glances	9
buy	3
22	1
home	3
first	13
whatever	5
sobs	1
closes	8
few	11
tell	11
mommy	3
lying	6
close	10
on--	3
sentinel	1
bags	3
slams	8
groceries	1
brought	1
steaks	1
cream	2
cereal	6
bourbon	1
didn't	9
rob	2
bank	2
paper	4
stuffed	2
full	5
continue	1
pokes	1
head	24
23	1
finishes	7
giving	1
lays	4
bit	3
eyeglasses	1
younger	5
types	2
"on	1
way."	1
arrives	4
hatchway	1
gotta	7
okay	9
yelapa	1
ourselves	2
ocean	2
meets	10
yeah	6
pleased	3
friend	7
everything	9
peaceful	1
glows	1
manager's	1
knocks	2
ready	4
finding	2
splintered	1
wood	2
doorjamb	1
24	1
trashed	1
tied	2
