Word	Count
entrance	3
sir	29
auckland	1
geddes	21
epitome	1
old	4
style	1
british	2
foreign	1
service	2
elegant	1
self	2
assured	1
gentleman	1
adventurer	1
seville	1
row	2
improve	1
certain	1
he'll	2
profit	1
seated	1
conference	1
ambassador's	5
sway	1
model	1
petroleum	1
gas	2
station/convenience	1
arabic	7
center	1
gallons	1
per	2
day	10
fact	1
rather	1
conservative	1
executive	2
nervously	1
security	2
variable	1
brushes	1
dismissal	1
margins	1
everyday	2
risks	2
diminish	1
rewards	1
multiply--	1
enters	1
ah	2
gentlemen	1
fine	6
site	5
easily	3
dispensed	1
excuse	1
rushes	4
stationed	1
mouth	3
wisps	1
meter	3
burning	6
hood	2
carriage	1
awash	1
sleeping	2
dragon	1
sprays	1
fire-extinguisher	1
subsides	1
inspects	2
normal	1
pair	5
pliers	1
snaps	1
effort	2
kicks	2
remains	5
shut	1
lumbers	2
range	5
jaw	2
set	5
stay	9
liking	1
searching	2
succession	1
items	1
flying	3
clothing	1
tarp	1
without	3
saying	5
word	1
crowbar	2
winds	2
wham	5
nope	2
drops	4
presto	1
overflowing	2
explosives	7
we've	7
aback	1
stares	9
great	9
slipping	2
slimy	1
seats	1
cushions	1
foam	2
upholstery	2
six	4
leads	1
floorboard	1
carpeting	1
dives	2
carpet	1
reveal	2
follows	5
ripping	2
apart	2
cutting	1
yes	10
please	14
sit	5
observer	1
opinion	1
executives	1
cue	1
shuffling	1
furious	2
idiotic	1
tow	3
lane	1
donkeys	4
use	2
jesus	2
lord	1
americans	1
incompetent	1
squadron	1
animals	1
task	1
sir--	1
downstairs	1
farmer	1
vendors	1
procure	1
meaning	1
purchase	1
several	3
step	4
lot	2
pink	1
det	4
cord	3
tearing	1
doors	1
wisp	1
curls	1
heating	1
vents	2
notice	2
haven't	3
found	2
none	2
somewhere	2
weather-stripping	1
chunk	1
weather	1
stripping	1
bare	2
seconds	5
bail	3
crawls	2
slime	1
escapes	1
seriously	2
retraces	1
ignoring	1
strangely	1
shadow	3
bicycle	1
straight	4
incoming	3
peddles	1
bicyclist	7
trains	1
rich	1
grows	3
potential	1
bomber	5
delivery	1
does	7
casting	2
refocuses	1
vent	1
gimmie	1
below	1
sudden	1
surge	1
sympathy	1
younger	1
took	2
thank	8
apologize	1
intrusion	1
doubt	1
restraint	1
advice	1
trigger	8
uh--rules	1
draw	3
insurgency	1
modern	1
history	1
truly	1
defeated	1
exit	2
wide	5
swath	2
bodies	1
withdraw	1
aide	4
grabs	8
coat	1
jab	1
vigor	2
kenya	1
executed	1
beds	1
gave	1
falklands	1
northern	1
ireland	1
murder	1
showing	1
leaves	3
evacuated	1
cleared	3
click	1
didn't	8
staying	1
finished	1
goddamn	1
report	2
pov	2
having	3
wiped	1
puddle	1
retardant	1
box	18
leading	1
stalking	2
flushed	1
red	4
dripping	1
legs	1
jabs	1
knocking	1
turn	8
stalks	1
explodes	4
floor	11
damaged	2
dirty	2
mucky	1
extracts	1
jumps	7
calm	2
marlboro	1
converse	1
colonel	26
reed	21
uniform	4
covered	4
bling	1
medals	1
won	1
traveled	1
chain	5
trots	3
beside	2
hi	1
flaming	1
concerned	1
hot	3
wild	4
shake	4
extending	1
paw	1
slapping	1
disarmed	3
self-conscious	1
listens	1
asked	2
counting	2
holy	3
seventy	1
god	2
must	1
disarming	1
spoken	1
picture	3
camera	2
digital	2
draped	2
james's	1
shoulders	3
snap	1
couldn't	5
glowering	2
key	1
whole	5
extends	1
shocked	1
bronze	2
recommend	2
luck	1
keeping	2
addresses	1
wouldn't	2
catch	3
fuckin'	1
monkey	1
ipod	1
earphones	1
