Word	Count
kitchen	1
backs	3
nearly	2
cornered	1
ushers	1
sleeping	2
stashes	1
straightens	2
notice	2
darkened	2
three	3
figures	1
nothing	8
parents	3
stare	3
straight	3
pit	1
grows	3
stomach	2
caught	1
finger	3
silence	3
wonderful	2
joined	2
apron	2
hangs	2
shoulders	5
every	10
school	1
shuffles	1
squealing	1
squeezes	1
cheeks	2
pride	1
migueli-ti-ti-ti-to	1
tradition	2
proud	9
gestures	5
adorning	1
you'll	5
craft	1
huaraches	1
tia	51
victoria	20
crosses	3
migue	2
shoemaker	1
swells	4
break	3
stuff	1
toast	4
last	7
smothers	1
tons	1
leaves	3
gone	8
deflates	2
noise	3
bottom	2
tier	1
licking	1
mole	1
heart's	1
content	1
horrified	3
stop	16
pulls	19
shakes	4
frame	2
imelda's	4
sways	2
forth	1
sickening	1
crack	1
picks	5
unfolds	3
reveal	11
portion	1
hidden	3
years	1
revealed	2
familiar	3
skull-headed	1
crooked	1
picture	7
wide	5
connection	1
dawns	1
possibly	2
record	1
sleeve	2
exact	1
match	1
ha	9
edge	7
overlooking	1
looking	5
grandfather	2
talking	9
whips	2
shoemaker's	1
striking	1
cast	2
albums	1
whole	9
encircles	1
secrets	1
spends	2
gloria	1
fills	1
crazy	5
fantasies	1
fantasy	2
known	3
anything	4
whoever	1
abandoned	1
future	1
curse	3
allow	1
end	5
argument	1
snatches	2
stupid	5
brow	2
hardens	1
smashes	1
bits	1
feel	2
comfort	2
hurt	2
beyond	2
repair	1
bolts	2
hacienda	1
desperate	1
buried	1
bag	1
hears	6
stage	51
manager	3
sign-up	1
kid	7
list	3
distraught	1
excuse	5
borrow	3
#1	1
guys	5
spare	1
#2	2
need	21
#3	1
outta	2
disheartened	1
finds	5
facing	1
great-great	19
answer	2
gaze	4
plaque	1
moves	4
thumb	2
firework	1
illuminates	1
sea	1
families	3
graves	2
sneaks	1
unnoticed	1
slipping	1
shadow	4
excitedly	1
callate	2
shhh	2
swipes	1
chicken	1
leg	2
neighboring	1
grave	6
chucks	1
bounds	5
slinks	2
tomb	4
windows	2
inside	5
famous	5
above	6
crypt	2
pop	1
light	8
glint	2
seems	5
beckon	1
tries	11
locked	2
shoot	2
timing	1
explosions	1
rusted-shut	1
pane	1
forces	2
open	10
scraping	1
krrrr-lank	1
drops	3
floor	12
muffled	1
slightly	2
moving	2
lid	1
stifles	1
gasp	4
marble	1
sarcophagus	1
face-to-face	1
famed	1
wipes	2
dust	2
revealing	6
rich	1
painted	6
beneath	3
portrait	1
please	12
mad	1
throat	2
its	2
mount	1
unbeknownst	1
begin	6
sparkle	1
thinks	1
none	3
understand	3
would've	1
told	8
view	3
painting	1
confidence	1
building	2
whirl	1
surge	1
visibly	1
taken	4
aback	1
flashlight	2
somebody	1
stole	5
window's	1
broken	2
keys	2
jangling	1
unlocking	1
groundskeeper	4
enters	2
alright	2
who's	3
puts	9
doesn't	12
panicked	1
trying	9
figure	1
walk	5
voice	4
searching	1
frantic	1
trips	1
ledge	5
skeleton	17
screams	2
does	6
backwards	3
scoots	1
frantically	2
bumps	1
lands	3
mind	5
ahhh	4
teeming	1
skeletons	12
races	3
hides	1
headstone	1
watch	4
engaging	1
living	32
couple	8
offerings	6
solidify	1
coo	1
abuela	1
getting	2
surprises	1
licks	1
cheek	3
w-wait	1
crowd	34
chase	1
-­	1
bam	1
mustached	1
skeleton's	1
bones	9
gather	1
scattered	1
rosita	27
magically	1
pull	5
charges	1
scattering	1
