Word	Count
pool	18
bubbling	3
naked	4
backs	2
quickly	5
zips	1
surface	7
exhaling	2
held	1
dries	2
bothered	1
nakedness	1
stanley's	1
witnessing	1
anyone	5
towards	27
privates	1
slowly	8
move	5
pussy	3
touching	1
herself	3
back-	1
show	8
mine	2
woman's	1
sores	1
butt	4
shredded	1
rotten	2
reduced	1
bones	2
gristle	1
trips	3
peddling	2
jets	1
lunges	3
runs	17
breathless	1
screams	10
perplexed	1
cleans	1
study	2
session	1
flipping	1
derry's	5
indians	2
colonization	1
settlements	2
logging	3
murders	1
massacres	1
violent	1
glancing	1
plunk	1
nickel	1
jar	1
libraries	1
writing	1
write	1
friend	6
brow	1
furled	1
concentration	1
dashes	2
haiku	2
hair	12
winter	3
fire	14
january	2
embers	2
heart	3
burns	2
drop	2
postcard	1
mailbox	6
second	9
slot	1
zone	1
2	1
closes	7
courage	2
tits	4
hockstettler	18
prowl	1
bolts	1
swinging	4
forth	3
gang	11
contest	1
rounds	1
kissing	1
bridge	5
historic	1
wooden	2
carved	2
thousands	2
hearts	1
crossing	1
wild	2
untamed	1
barrens	5
gotcha	1
snag	1
railing	4
exposing	1
belly	3
slaps	2
rabbit	1
whipsawing	1
gut	4
pig	5
squeals	2
ben's	14
better	8
quit	1
swear	6
buck	1
knife	16
mama	1
help	13
car	23
hides	2
pressing	1
steel	2
ahead	3
yell	2
picking	3
fucking	1
intestines	1
sneakers	1
tears	8
accelerator	1
riding	4
exam	1
time	19
question:	1
`let	1
copy'	1
finals	1
copy	5
sticks	5
don't--	2
motions	1
slashes	2
bright	1
"t"	1
laugh	4
lighter	4
hairspray	5
michael	1
jackson	2
jettisons	1
fireball	1
make-shift	1
flame	4
thrower	1
hold	11
carve	2
entire	3
name	4
cottage	1
cheese	2
scream	5
shoulder	9
travis's	2
blade	3
t	1
plants	1
heel	1
chest	4
launches	1
backward	1
grip	2
knocked	2
pavement	2
tumbles	2
culvert	1
fetching	1
fallen	1
tree	2
eye	9
hub	3
leaping	1
hurls	1
pelting	1
splash	7
loses	2
darts	1
thicket	1
woods	4
hysterical	1
goddamn	1
daddy's	1
search	3
passing	2
wedged	1
log	3
boy's	2
fishes	3
grasps	1
sneaker	5
middle	6
dam	2
c'mon	9
eds	3
anxious	1
sixty	1
million	3
diseases	1
gray	3
`em	9
wash	2
runoff	1
poop	1
telling	2
guys	37
splashing	1
toilet	3
shrug	1
continue	4
smells	2
alright	2
we're	17
poison	2
ivy	1
mosquitos	1
knows	9
else	8
mention	1
alone	8
run	12
psycho	1
who's	9
guys--	2
overheard	1
aunt	1
bangor	1
says	6
sex	3
fiend	1
drifter	1
couldn't	3
whatcha	1
sloshing	4
inside	26
"dorsey	1
coen"	1
written	1
marker	1
a--	1
potato	1
idiot	1
big	8
deal	3
fish	1
feels	5
running	7
friggin'	6
